category_name,category_id,rank_in_category,itemId,title,author,publisher,pubDate,isbn,isbn13,priceSales,priceStandard,salesPoint,customerReviewRank,bestSellerRank,link,cover,description,fetched_at
어린이,1108,163,282948759,나의 생각 글쓰기 1단계 - 2차 개정판,성정일 (지은이),시서례,2021-11-10,8960660981,9788960660984,9900,11000,6320,10,163,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282948759&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/28294/87/coversum/8960660981_1.jpg,"문장의 기본 개념과 올바른 글쓰기 방법을 단계적으로 익히는 학습 내용으로, 낱말을 넣거나 바꿔 문장을 만드는 연습부터 문장의 개념 이해, 문장 완성, 짧은 글 짓기를 다룹니다. 흉내 내는 말과 구체적인 표현을 활용해 문장을 자세히 쓰는 방법을 배우고, 사실과 생각을 구분해 표현하는 방법과 원인과 결과의 관계를 익힙니다.",2026-08-13T15:12:05+09:00
어린이,1108,164,264129009,지옥으로 가기 전에,"황선미 (지은이), 천루 (그림), 이보연",위즈덤하우스,2021-02-25,K052738423,9791191425567,10800,12000,4610,10,164,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=264129009&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/26412/90/coversum/k052738423_1.jpg,"한국 대표 동화작가 황선미 작가가 어린이 주변 관계에 대해 다룬 관계 동화 다섯 번째 이야기. 어린이들이 가장 밀접하게 관계를 맺고, 영향을 주고받는 가족 사이에서 벌어지는 갈등과 화해, 성장의 이야기를 담았다.",2026-08-13T15:12:05+09:00
어린이,1108,165,323575659,"인공 지능 판사는 공정할까? - 사회 문제 윤리적으로 바라보기, 2023 우수출판콘텐츠 제작 지원 사업 선정작","오승현 (지은이), 박우희 (그림)",개암나무,2023-08-30,896830775X,9788968307751,15120,16800,3748,10,165,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323575659&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/32357/56/coversum/896830775x_1.jpg,우리 사회에 나타나는 여러 사회 이슈 중 윤리적 선택이 필요한 주제를 찬성과 반대 입장에서 살펴보며 윤리적으로 생각하는 방법을 소개하는 지식 정보책이다. 윤리적 관점에서 우리 사회를 이해하고 자기만의 판단력을 기르도록 돕는다.,2026-08-13T15:12:05+09:00
어린이,1108,166,393811153,나민애의 문해력 게임 5,"나민애 (지은이), 김혜련 (글), 이정태 (그림)",겜툰,2026-05-28,K082139872,9791168442993,13500,15000,3560,10,166,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393811153&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39381/11/coversum/k082139872_1.jpg,"서울대 글쓰기 강의 1위 교수이자 문해력 전문가 나민애 교수가 기획한 학습만화 시리즈의 다섯 번째 이야기다. 5권에서는 반대말, 문장 부호 바로 알기, 관용 표현 이해하기, 글의 숨은 뜻 추론하기, 사자성어 등 초등 국어에서 반드시 익혀야 할 핵심 문해력 요소들을 흥미로운 게임 미션 속에 담아냈다.",2026-08-13T15:12:05+09:00
어린이,1108,167,326558135,예술이 왜 필요할까?,"사라 월든 (지은이), 케이티 루스 (그림), 한명식 (도움글)",봄마중,2023-10-15,K342936868,9791192595290,10800,12000,3539,10,167,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326558135&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/32655/81/coversum/k342936868_1.jpg,"초등 저학년 어린이들에게 예술에 대한 개념을 알려주는 책이다. 예술의 역사와 예술의 종류, 예술이 우리에게 가지는 의미에 대해 설득력 있게 설명해 준다. 특히 뒤쪽에 실린, 대구한의대 건축디자인학부 한명식 교수의 도움말은 원서에서 다소 부족했던 부분을 좀 더 깊이 있게 설명함으로써 어린이들이 예술에 한 발자국 더 다가설 수 있도록 돕는다.",2026-08-13T15:12:05+09:00
어린이,1108,168,396405579,초등 한 문장 요약의 힘 1 : 초등 3~4학년 - 글의 핵심을 단박에 잡는,"엄인정, 신영서 (지은이)",가로책길,2026-07-30,K812130175,9791193419106,17820,19800,3055,10,168,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=396405579&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39640/55/coversum/k812130175_1.jpg,"글을 읽고 이해하는 힘은 핵심을 찾는 데서 시작된다. 『초등 한 문장 요약의 힘』은 글에서 중심 낱말, 중심 내용, 중심 문장을 찾고, 꼭 필요한 요점을 골라 한 문장으로 정리하는 훈련을 통해 독해력과 문해력을 기르는 초등 요약 교재이다.",2026-08-13T15:12:05+09:00
어린이,1108,169,393696564,슈뻘맨의 숨은 국어 찾기 3 - 슈뻘맨과 함께 국어 완전 정복!,"슈뻘맨 (원작), 권나혜 (글), 류수형 (그림), 샌드박스네트워크, 윤신원 (감수)",미래엔아이세움,2026-05-21,K612139567,9791175488151,15120,16800,3410,10,169,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393696564&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39369/65/coversum/k612139567_1.jpg,"유쾌 발랄한 슈뻘맨과 함께 국어 능력을 레벨 업할 수 있다. 《슈뻘맨의 숨은 국어 찾기》는 슈뻘맨의 좌충우돌 웃음 가득한 일상 속에 숨어 있는 ‘어휘’, ‘맞춤법’, ‘사자성어’, ‘속담’ 등을 찾으며 국어 지식을 배우는 학습 만화 시리즈다.",2026-08-13T15:12:05+09:00
어린이,1108,170,398745110,타키 포오의 이세계 여행사 14 - 캐릭온TV 창작 어드벤처 만화,"송도수 (지은이), 캐릭온TV (원작), 이지운 (그림)",대원키즈,2026-07-24,K852130418,9791142356674,14220,15800,2400,0,170,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398745110&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39874/51/coversum/k852130418_1.jpg,"타키, 포오, 델은 경치 좋은 데서 며칠 쉬어 갈 계획으로 걸프 펜션을 찾는다. 하지만 그곳에서 루카스라는 의문의 소년을 만나, 자신들이 큰 위험에 빠졌음을 깨닫는다. 한편 ’아무도 가보지 않는 길의 지도책’을 찾아 타키를 쫓던 레이디 팜 일행도 걸프 펜션으로 향하며 깜짝 놀랄 이야기를 꺼내는데….",2026-08-13T15:12:05+09:00
어린이,1108,171,398289648,타키포오 허징의 수상한 만물상점 7,"캐릭온TV (원작), 김혜련 (글), 김기수 (그림)",대원키즈,2026-07-20,K812130714,9791142359422,14220,15800,2320,0,171,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398289648&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39828/96/coversum/k812130714_1.jpg,"버려진 옷장을 집으로 가져온 포오. 그날 밤부터 옷장 안에서 정체를 알 수 없는 목소리가 들려온다. “문을 열어 줘….” ‘과거를 보는 안경’으로 옷장을 조사한 허징 아저씨는 그 옷장이 귀신들이 드나드는 통로, ‘귀문’이라고 하는데…! 타키와 포오는 귀문을 닫고 귀신들을 막아 낼 수 있을까?",2026-08-13T15:12:05+09:00
어린이,1108,172,397222848,반장으로서의 책임과 의무 7 - 그래도 우리는,수신지 (지은이),귤프레스,2026-06-24,K422130701,9791199972209,13500,15000,2370,10,172,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397222848&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39722/28/coversum/k422130701_1.jpg,"마침내 1등 배지를 달게 된 날, 연두의 안전한 세상이 예고 없이 흔들리기 시작한다. 난생처음 2등이란 숫자를 마주한 아랑은 낯선 승부욕에 휩싸이고, 꼭꼭 숨겨 둔 콤플렉스를 들켜 버린 하은은 교실 밖으로 도망친다. 저마다 다른 상처로 부서지고 비틀거리는 열여덟 우리. 그래도 우리는 함께 달리며 더불어 자란다.",2026-08-13T15:12:05+09:00
